ID,SOCIAL_dprime,MONETARY_dprime,SOCIAL_dprime_mine,MONETARY_dprime_mine,SOCIAL_bias_c,MONETARY_bias_c,SOCIAL_TrueMem,SOCIAL_FalseMem,SOCIAL_TotalTrials,MONETARY_TrueMem,MONETARY_FalseMem,MONETARY_TotalTrials
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s0105-pilot,0.350492792020273,0.733104534175726,0.2926348677320001,0.7331045341757259,0.029464687149668198,-0.48340501380419476,23.0,18.0,84.0,34.0,23.0,84.0
s1000,-0.0188683429053245,-0.528404950012741,-0.08047526943469874,-0.6312319897734016,-0.7244720390690378,-0.0813968009720811,30.0,31.0,79.0,16.0,26.0,79.0
s1143,0.0,-0.295722699452161,0.0,-0.29572269945216134,-0.058326735272993174,-0.14786134972608067,22.0,22.0,84.0,21.0,26.0,84.0
s1170,0.0688553126748033,0.593384585071591,-0.18247949864364876,0.5671247192035078,0.10634049354131245,1.496901982090272,17.0,20.0,81.0,4.0,1.0,78.0
s1228-pilot,-0.282216147062508,0.0624968021895535,-0.4155425699075777,0.06249680218955339,-0.14944454968079582,-0.3031284064940375,20.0,27.0,84.0,26.0,25.0,82.0
s1253,0.168763386635755,-0.121886963565068,0.12188696356506776,-0.12188696356506776,0.2962723528520508,0.2962723528520508,17.0,15.0,84.0,15.0,17.0,84.0
s1287,0.118130616242071,0.532997955650253,0.058326735272993174,0.5329979556502529,-0.029163367636496587,-0.09071685680945821,22.0,21.0,84.0,27.0,18.0,84.0
s1323,0.208138347398047,-0.205378848174589,0.11804032596246508,-0.5979074628648833,-0.014771110827040149,-0.6763456752609955,22.0,20.0,83.0,27.0,35.0,83.0
s1324,0.457709323699191,-0.0446297397038927,0.7557465523476826,-0.12933094386836502,-1.0810787461889846,-0.39904227952299665,38.0,31.0,81.0,26.0,28.0,82.0
s1350,-0.803087545292006,0.0828243467745477,-1.247603625676869,-0.06594347005399065,-1.7025460612024061,0.31881260990816096,24.0,29.0,55.0,14.0,15.0,78.0
