tract,outcome,sig,p,nodes,dirn,maxc,thr
anthipp,SOCIAL_enc_rt_mean,False,,,,0,30
anthipp,SOCIAL_hit_negative,False,,,,0,32
anthipp,MONETARY_hit_neutral,False,,,,0,31
anthipp,MONETARY_precision_given_hit,False,,,,0,28
posthipp,SOCIAL_motivated_valacc,False,,,,0,28
anthipp,MONETARY_fa,False,,,,0,31
anthipp,MONETARY_valacc_valenced,False,,,,0,29
anthipp,SOCIAL_valacc_given_hit,False,,,,11,28
anthipp,MONETARY_valacc_neutral,False,,,,0,30
anthipp,MONETARY_dprime_loglinear,False,,,,0,31
posthipp,MONETARY_HitRateBias,False,,,,0,29
anthipp,SOCIAL_dprime_loglinear,False,,,,14,33
anthipp,MONETARY_valacc_given_hit,False,,,,0,31
anthipp,SOCIAL_hit_positive,False,,,,0,30
anthipp,SOCIAL_valacc_neutral,False,,,,0,27
anthipp,SOCIAL_val_dprime,False,,,,8,28
posthipp,SOCIAL_strict_hit,False,,,,0,31
posthipp,SOCIAL_hit,False,,,,0,32
anthipp,MONETARY_gist_above_chance,False,,,,0,30
posthipp,SOCIAL_FABias,False,,,,9,29
anthipp,MONETARY_HitRateBias,False,,,,0,30
posthipp,SOCIAL_rt_mean,False,,,,0,30
posthipp,SOCIAL_criterion,False,,,,0,32
posthipp,SOCIAL_n_fa,False,,,,0,29
posthipp,MONETARY_prop_remember,False,,,,0,32
anthipp,SOCIAL_gist_given_error,False,,,,3,32
anthipp,MONETARY_pairsep_dprime,False,,,,0,31
posthipp,SOCIAL_hit_pos_minus_neg,True,0.0384,41-78,Negative,38,31
anthipp,MONETARY_val_dprime,False,,,,0,29
anthipp,SOCIAL_pairsep_dprime,False,,,,13,32
posthipp,MONETARY_hit_neutral,False,,,,0,32
anthipp,MONETARY_gist_given_error,False,,,,0,30
anthipp,MONETARY_enc_rt_mean,False,,,,0,30
posthipp,MONETARY_rt_sd,False,,,,0,29
posthipp,SOCIAL_rt_hit_minus_miss,False,,,,14,30
posthipp,SOCIAL_rt_sd,False,,,,0,31
anthipp,MONETARY_strict_hit,False,,,,0,31
anthipp,SOCIAL_hit_ll,False,,,,0,30
anthipp,SOCIAL_valacc_positive,False,,,,0,28
posthipp,MONETARY_hit_ll,False,,,,0,31
posthipp,SOCIAL_gist_given_error,False,,,,0,31
posthipp,MONETARY_pairsep_dprime,False,,,,0,31
anthipp,SOCIAL_hit_neutral,False,,,,0,28
posthipp,SOCIAL_hit_neutral,False,,,,0,28
anthipp,SOCIAL_n_fa,False,,,,0,30
posthipp,SOCIAL_val_dprime,False,,,,0,26
anthipp,SOCIAL_gist_above_chance,False,,,,3,32
posthipp,MONETARY_motivated_mem,False,,,,0,33
posthipp,MONETARY_gist_error_ratio,False,,,,0,30
anthipp,SOCIAL_strict_hit,False,,,,0,30
anthipp,MONETARY_fa_adjCriterion,False,,,,0,30
posthipp,SOCIAL_fa_ll,False,,,,0,31
anthipp,SOCIAL_valacc_negative,False,,,,0,29
anthipp,MONETARY_hit_ll,False,,,,0,30
posthipp,MONETARY_hit,False,,,,0,31
posthipp,SOCIAL_pairsep_dprime,True,0.0238,0-56,Positive,57,31
posthipp,MONETARY_fa_ll,False,,,,0,33
