tract,outcome,n,maxc,thr,sig,p,nodes,dirn
anthipp,SOCIAL_hit_valenced,52,0,28,False,,,
anthipp,MONETARY_rt_mean,53,0,28,False,,,
anthipp,MONETARY_FABias,53,0,29,False,,,
anthipp,MONETARY_motivated_valacc,53,0,29,False,,,
posthipp,SOCIAL_fa,52,0,26,False,,,
posthipp,MONETARY_dprime_snodgrass,53,0,27,False,,,
posthipp,SOCIAL_enc_rt_mean,52,0,26,False,,,
posthipp,SOCIAL_hit_ll,52,0,27,False,,,
anthipp,SOCIAL_enc_rt_mean,52,0,28,False,,,
anthipp,SOCIAL_hit_negative,52,0,29,False,,,
anthipp,MONETARY_hit_neutral,53,0,27,False,,,
anthipp,MONETARY_precision_given_hit,52,0,27,False,,,
posthipp,SOCIAL_motivated_valacc,52,0,26,False,,,
anthipp,MONETARY_fa,53,0,27,False,,,
anthipp,MONETARY_valacc_valenced,53,0,29,False,,,
anthipp,SOCIAL_valacc_given_hit,52,10,27,False,,,
anthipp,MONETARY_valacc_neutral,53,0,29,False,,,
anthipp,MONETARY_dprime_loglinear,53,0,27,False,,,
posthipp,MONETARY_HitRateBias,53,0,26,False,,,
anthipp,SOCIAL_dprime_loglinear,52,0,29,False,,,
anthipp,MONETARY_valacc_given_hit,53,0,27,False,,,
anthipp,SOCIAL_hit_positive,52,0,27,False,,,
anthipp,SOCIAL_valacc_neutral,52,0,28,False,,,
anthipp,SOCIAL_val_dprime,52,7,27,False,,,
posthipp,SOCIAL_strict_hit,52,0,26,False,,,
posthipp,SOCIAL_hit,52,0,27,False,,,
anthipp,MONETARY_gist_above_chance,52,0,28,False,,,
posthipp,SOCIAL_FABias,52,52,26,True,0.0076,26-77,Negative
anthipp,MONETARY_HitRateBias,53,0,26,False,,,
posthipp,SOCIAL_rt_mean,52,0,26,False,,,
posthipp,SOCIAL_criterion,52,0,28,False,,,
posthipp,SOCIAL_n_fa,51,0,25,False,,,
posthipp,MONETARY_prop_remember,53,0,26,False,,,
anthipp,SOCIAL_gist_given_error,51,0,29,False,,,
anthipp,MONETARY_pairsep_dprime,53,0,27,False,,,
posthipp,SOCIAL_hit_pos_minus_neg,52,3,26,False,,,
anthipp,MONETARY_val_dprime,53,0,30,False,,,
anthipp,SOCIAL_pairsep_dprime,52,0,29,False,,,
posthipp,MONETARY_hit_neutral,53,0,27,False,,,
anthipp,MONETARY_gist_given_error,52,0,28,False,,,
anthipp,MONETARY_enc_rt_mean,53,0,29,False,,,
posthipp,MONETARY_rt_sd,53,14,28,False,,,
posthipp,SOCIAL_rt_hit_minus_miss,50,19,27,False,,,
posthipp,SOCIAL_rt_sd,52,0,26,False,,,
anthipp,MONETARY_strict_hit,53,1,29,False,,,
anthipp,SOCIAL_hit_ll,52,0,29,False,,,
anthipp,SOCIAL_valacc_positive,52,0,27,False,,,
posthipp,MONETARY_hit_ll,53,0,25,False,,,
posthipp,SOCIAL_gist_given_error,51,0,26,False,,,
posthipp,MONETARY_pairsep_dprime,53,0,27,False,,,
anthipp,SOCIAL_hit_neutral,52,0,28,False,,,
posthipp,SOCIAL_hit_neutral,52,0,27,False,,,
anthipp,SOCIAL_n_fa,51,0,26,False,,,
posthipp,SOCIAL_val_dprime,52,0,26,False,,,
anthipp,SOCIAL_gist_above_chance,51,0,29,False,,,
posthipp,MONETARY_motivated_mem,53,0,26,False,,,
posthipp,MONETARY_gist_error_ratio,52,0,25,False,,,
anthipp,SOCIAL_strict_hit,52,0,29,False,,,
anthipp,MONETARY_fa_adjCriterion,53,0,28,False,,,
posthipp,SOCIAL_fa_ll,52,0,26,False,,,
anthipp,SOCIAL_valacc_negative,52,0,25,False,,,
anthipp,MONETARY_hit_ll,53,0,27,False,,,
posthipp,MONETARY_hit,53,0,25,False,,,
posthipp,SOCIAL_pairsep_dprime,52,27,25,True,0.0454,28-54,Positive
posthipp,MONETARY_fa_ll,53,0,26,False,,,
