Subject,MONETARY_dprime_loglinear,SOCIAL_dprime_loglinear,MONETARY_dprime_snodgrass,SOCIAL_dprime_snodgrass
s0105-pilot,0.7331045341757259,0.3504927920202734,0.7564947362069987,0.3589076078904583
s1000,-0.5284049500127405,-0.018868342905324464,-0.5420566301795939,-0.01909910898433964
s1143,-0.29572269945216134,0.0,-0.30298044805620655,0.0
s1170,0.5933845850715915,0.06885531267480328,0.7078444642748352,0.07002537856340645
s1228-pilot,0.06249680218955339,-0.28221614706250825,0.06417190797310757,-0.2888093550744635
s1253,-0.12188696356506776,0.16876338663575552,-0.1250659629145428,0.17282155997052948
s1287,0.5329979556502529,0.11813061624207151,0.5461187265932749,0.12098580147734361
s1323,-0.20537884817458918,0.20813834739804699,-0.20978673108373336,0.21321359334125378
s1324,-0.044629739703892723,0.4577093236991914,-0.045406832887889714,0.48572922956195963
s1350,0.08282434677454775,-0.8030875452920054,0.0838902097380615,-0.688303899254713
s1476,0.2289970128886126,0.1731418555633588,0.23448015905057223,0.1773191012011324
s1595,0.3617647746664182,0.06118322494066604,0.37101019951013464,0.06271519314824459
s1630,0.1573106846101707,0.16779177890708863,0.16137904273423911,0.17578295835832658
s169,0.470657742139034,0.24881930407956987,0.48208078777205365,0.2553030589041475
s172,0.34934653796444065,0.0,0.35788826416220504,0.0
s1745,0.1902152239125653,-0.02439370572155341,0.2005167640137302,-0.024857881031036033
s191,0.2817991709590719,-0.5702045521236281,0.2932263076629872,-0.5867086457674051
s243,0.29572269945216134,0.02846694003721143,0.30298044805620655,0.02912805501100854
s313,0.07801818645934622,0.8187932866947563,0.07966135115178771,0.842967272846649
s331,0.23532887106951692,-0.1782502776109359,0.24104039388602683,-0.18259416734645556
s333,0.0,0.053264641018229975,0.0,0.054419100850087956
s35,-0.15459133523035212,0.17274092213830106,-0.1564457960317986,0.18400317777956987
s4074,0.5715507768307144,-0.06420450893538249,0.6851774095495915,-0.06589095233715468
s4127,0.7107285941782868,-0.4348322414113318,0.7319215079580517,-0.4453143108066838
s418,0.17700213579652388,0.22213996748694465,0.18132329410070394,0.22952312448539214
s4210,0.0,-0.009016804955585656,0.0,-0.00926329482658339
